a,winding,opt,cell,gamma,crossed,step,s_cross,placed_in_warmup,w1,b1,b2,seed,w1_end,b1_end,b2_end,steps_run
1.3,-1,sgd,1,1.490120678114902e-05,True,56375,5.740565692227477,False,-0.8231158082602356,-2.448314347927134,17.37910959866531,860027,-0.8149329464183163,-2.457127625798548,18.709655535287148,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,48449,5.101072405333003,False,-0.8321348656893618,-2.4510002794328836,15.374176205898566,860028,-0.8091691996064182,-2.475683002853526,18.717494806023556,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,53496,5.499500026344747,False,-0.8441881835564671,-2.454751001408683,16.562274238228103,860029,-0.8300974701031067,-2.469043056653224,18.652197567369708,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,46901,4.984752359675903,False,-0.8208487361833942,-2.447653218686013,15.09353155424202,860030,-0.7967981958025091,-2.4737284328159785,18.79723055453461,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,57612,5.847361599735826,False,-0.8260760282227501,-2.449185759471298,17.737733020134584,860031,-0.8198543701357104,-2.455793448540622,18.733784213345736,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,52471,5.416140337119834,False,-0.8197131082313719,-2.447325963435979,16.377480744976427,860032,-0.8046359334106002,-2.463424384544933,18.728769114836183,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,43984,4.77272253868018,False,-0.8382814910376831,-2.4528891434914706,14.365900868400322,860033,-0.8075638413775782,-2.4845028465523233,18.737205005880202,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,38539,4.400771357049266,False,-0.8436122612783249,-2.4545687315012534,13.239866568459268,860034,-0.802876262197375,-2.496636543341888,18.774536356614075,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,52413,5.411461351791485,False,-0.829168380474326,-2.450106539217604,16.416627780409243,860035,-0.814597034412081,-2.4656669583589093,18.778966458336736,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,50240,5.239043033846223,False,-0.8314856935867546,-2.45080355805283,15.817482582955467,860036,-0.8120613918886627,-2.4711073948513436,18.721758974061057,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,54180,5.555839902564338,False,-0.8228492759265604,-2.4482367542444012,16.712733200196354,860037,-0.8100193364114802,-2.461824180047957,18.62561205450652,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,51125,5.308590845434187,False,-0.8348887178360057,-2.451840447204695,16.0034177734801,860038,-0.8171408610171944,-2.470421251424366,18.691105478778894,65156
1.3,-1,sgd,1,1.490120678114902e-05,True,52180,5.392705438751602,False,-0.8490441048675811,-2.4612823012620315,16.23711363480513,860039,-0.8322876944176428,-2.4782750758850693,18.663121090250545,65156
1.3,-1,sgd,2,3.743013912668677e-05,True,16462,4.589069022437748,False,-0.8500602443490817,-2.4643437658896743,13.815970941451537,860000,-0.8137656541085181,-2.501592569773563,18.853952929734987,28470
1.3,-1,sgd,2,3.743013912668677e-05,True,20424,5.322671757605639,False,-0.8471898297091486,-2.4559226442817224,16.076664637931316,860001,-0.8286077134345398,-2.475152243140778,18.810947616441428,28470
1.3,-1,sgd,2,3.743013912668677e-05,True,15721,4.4635367410695626,False,-0.8259180377613605,-2.4491421027271563,13.521548390225709,860002,-0.7901842985983668,-2.487907502785919,18.941697611428996,28470
1.3,-1,sgd,2,3.743013912668677e-05,True,24470,6.192988284806973,False,-0.8224667128052885,-2.4481243877164105,18.745663452368742,860003,-0.8224667128052885,-2.4481243877164105,18.745663452368742,28470
1.3,-1,sgd,2,3.743013912668677e-05,True,14637,4.286056897829167,False,-0.8403864589830274,-2.453547116301086,12.95729312560919,860004,-0.7993686423907885,-2.4962676110571898,18.935675693858983,28470
1.3,-1,sgd,2,3.743013912668677e-05,True,22169,5.681930093128301,False,-0.8178419830702439,-2.4467893874430793,17.220396460499607,860005,-0.8081720490788789,-2.457439254031248,18.824649753436685,28470
1.3,-1,sgd,2,3.743013912668677e-05,True,23065,5.875718701967945,False,-0.8185711775781951,-2.4469981057591865,17.787695171092352,860006,-0.8127003883202574,-2.453319666787602,18.783582475817557,28470
