a,winding,opt,cell,gamma,seed,s_cross,w2_own,winding_k,b1_offset,mirror,chi,kappa_k,pred_r,init_winding,obs_r,winding_b,s_branch,branch_over_own,obs_r_branch
1.3,-1,sgd,1,1.490120678114902e-05,860000,4.572299862842112,6.059375,-1,-0.0129649793270436,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,-0.2454172480095535,-1,4.561271205028657,0.75276265374377,0.0024178912670871355
1.3,-1,sgd,1,1.490120678114902e-05,860001,5.299817513629342,5.284375,-1,-0.0044816010889716,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,0.0029222970794733,-1,5.284926053959541,1.0001042798740705,0.0028177233735642293
1.3,-1,sgd,1,1.490120678114902e-05,860002,4.44718042745596,5.371875,-1,0.002268652631999,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,-0.1721362787749231,-1,4.436461122882362,0.8258682718571004,0.0024161835924381148
1.3,-1,sgd,1,1.490120678114902e-05,860003,6.164459298545707,6.146875,-1,0.0033370584517484,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,0.0028606891380917,-1,6.145854564329206,0.9998339911465919,0.0030272005335894026
1.3,-1,sgd,1,1.490120678114902e-05,860004,4.271934749971482,5.659375,-1,-0.0021385723943847,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,-0.2451578575423112,-1,4.262572782994976,0.7531879020200952,0.0021963183863638047
1.3,-1,sgd,1,1.490120678114902e-05,860005,5.659030566933726,5.646875,-1,0.0046546595470431,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,0.0021526183833937,-1,5.644042373794404,0.9994983727804148,0.0026555777130436997
1.3,-1,sgd,1,1.490120678114902e-05,860006,5.850237687383906,5.834375,-1,0.0044568516239493,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,0.0027188323314677,-1,5.8335610818840955,0.9998604960915429,0.00285873504463674
1.3,-1,sgd,1,1.490120678114902e-05,860007,5.083619539339748,5.071875,-1,0.0008017179222479,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,0.0023156208186809,-1,5.070746928386485,0.9997775829227818,0.0025386025244527044
1.3,-1,sgd,1,1.490120678114902e-05,860008,5.280189504543375,5.265625,-1,-0.0020949009602677,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,0.0027659593198101,-1,5.265314680056628,0.9999410668356801,0.002825058973794814
1.3,-1,sgd,1,1.490120678114902e-05,860009,5.519943276798636,5.503125,-1,-0.0001549328429577,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,0.0030561320701667,-1,5.504604859446335,1.0002689125626503,0.002786470190676571
1.3,-1,sgd,1,1.490120678114902e-05,860010,5.210547897187816,4.684375,-1,0.0016453702900545,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,0.1123251014677124,-1,5.19789872756701,1.1096248117554657,0.0024335159809329987
1.3,-1,sgd,1,1.490120678114902e-05,860011,4.636726231897017,4.621875,-1,-0.0043552868058673,False,0.0003296590996256,7.619648401522177,0.0025118864315095,-1,0.0032132482806255,-1,4.624568261784122,1.0005827206023794,0.0026289957082834547
