act,a,depth,seed,budget,heldout_errors,heldout_acc,train_acc,perfect,wout_fro,train_loss
3.0,3.0,8,5,64000,9,0.99955,1.0,False,2.4715754985809326,7.905638817196081e-12
3.0,3.0,8,6,1000,119,0.99405,0.9962000250816345,False,1.1189699172973633,0.0133837154135108
3.0,3.0,8,6,4000,141,0.99295,0.9970999956130981,False,1.341618537902832,0.012824197299778461
3.0,3.0,8,6,16000,231,0.98845,0.9970999956130981,False,2.84543776512146,0.007595477160066366
3.0,3.0,8,6,64000,100,0.995,0.9997000098228455,False,4.174622535705566,0.001396839739754796
3.0,3.0,8,7,1000,48,0.9976,0.9987999796867371,False,0.9112779498100281,0.006057668011635542
3.0,3.0,8,7,4000,76,0.9962,0.9977999925613403,False,1.1477205753326416,0.009125684387981892
3.0,3.0,8,7,16000,59,0.99705,1.0,False,3.30663800239563,0.00021262317022774369
3.0,3.0,8,7,64000,258,0.9871,0.9929999709129333,False,4.350967884063721,0.023368369787931442
relu,,8,0,1000,466,0.9767,0.9761000275611877,False,1.6652635335922241,0.07530353963375092
relu,,8,0,4000,344,0.9828,0.9829000234603882,False,2.0380866527557373,0.05016753077507019
relu,,8,0,16000,349,0.98255,0.9835000038146973,False,2.1234476566314697,0.04796205461025238
relu,,8,0,64000,362,0.9819,0.983299970626831,False,2.2128310203552246,0.04872851073741913
relu,,8,1,1000,2019,0.89905,0.8992999792098999,False,2.0562899112701416,0.23072783648967743
relu,,8,1,4000,1959,0.90205,0.9036999940872192,False,2.884080171585083,0.20361986756324768
relu,,8,1,16000,1953,0.90235,0.9036999940872192,False,3.495558261871338,0.20199020206928253
relu,,8,1,64000,1944,0.9028,0.9049999713897705,False,3.9750986099243164,0.1982952207326889
relu,,8,2,1000,10000,0.5,0.5,False,0.7386857271194458,0.6931471824645996
relu,,8,2,4000,10000,0.5,0.5,False,0.7386857271194458,0.6931471824645996
relu,,8,2,16000,10000,0.5,0.5,False,0.7386857271194458,0.6931470632553101
relu,,8,2,64000,10000,0.5,0.5,False,0.7386857271194458,0.6931471824645996
relu,,8,3,1000,210,0.9895,0.9915000200271606,False,1.609817385673523,0.024876916781067848
relu,,8,3,4000,173,0.99135,0.9937999844551086,False,3.1456398963928223,0.01903027668595314
relu,,8,3,16000,175,0.99125,0.9940000176429749,False,9.326180458068848,0.01879655197262764
relu,,8,3,64000,173,0.99135,0.9936000108718872,False,14.68169116973877,0.018818292766809464
relu,,8,4,1000,234,0.9883,0.9934999942779541,False,1.4784220457077026,0.03062262013554573
relu,,8,4,4000,214,0.9893,0.9957000017166138,False,1.5549513101577759,0.02260160818696022
relu,,8,4,16000,191,0.99045,0.9954000115394592,False,1.757577896118164,0.02334935963153839
relu,,8,4,64000,171,0.99145,0.9957000017166138,False,1.9833563566207886,0.024770444259047508
