A,source,type,dmu,var,max_abs_alpha_over_A,t,G_lo,G_hi,G_n
5.0,search,pair,0.9677930348298258,0.7197872029930856,1.0,2.594221937022748e-17,-0.23806764796207203,-0.23806764796207203,-0.23806764796207203
5.0,search,single_unit,0.9677930348298257,0.7197872029944642,1.0,1.0,-0.23806764798122204,-0.23806764798122204,-0.23806764798122204
5.0,search,single_unit,0.9677930348298258,0.7197872029946099,1.0,-1.0,-0.23806764798324542,-0.23806764798324542,-0.23806764798324542
5.0,search,pair,0.9677930348298259,0.7197872029990792,1.0,-3.6135251476768293e-19,-0.238067648045323,-0.238067648045323,-0.238067648045323
5.0,search,single_unit,0.9677930348298259,0.7197872029882548,1.0,1.0,-0.23806764789497492,-0.23806764789497492,-0.23806764789497492
5.0,search,pair,0.9677930348298259,0.7197872029989728,1.0,-1.6522932634498578e-17,-0.23806764804384362,-0.23806764804384362,-0.23806764804384362
5.0,search,single_unit,0.9677930348298257,0.7197872029944605,1.0,-1.0,-0.23806764798117253,-0.23806764798117253,-0.23806764798117253
5.0,search,pair,0.9677930348298258,0.7197872030039163,1.0,-1.6588820933589957e-17,-0.2380676481125088,-0.2380676481125088,-0.2380676481125088
5.0,search,single_unit,0.9677930348298257,0.7197872029944609,1.0,1.0,-0.23806764798117286,-0.23806764798117286,-0.23806764798117286
5.0,search,pair,0.9677930348298259,0.7197872029871365,1.0,-1.2114041849467411e-17,-0.238067647879442,-0.238067647879442,-0.238067647879442
5.0,search,single_unit,0.9677930348298258,0.7197872029944583,1.0,1.0,-0.23806764798113744,-0.23806764798113744,-0.23806764798113744
5.0,search,single_unit,0.9677930348298257,0.7197872029944579,1.0,1.0,-0.23806764798113267,-0.23806764798113267,-0.23806764798113267
5.0,search,single_unit,0.9677930348298256,0.7197872029944606,1.0,1.0,-0.2380676479811732,-0.2380676479811732,-0.2380676479811732
5.0,search,pair,0.9677930348298258,0.7197872029944614,1.0,2.2992232336079876e-18,-0.2380676479811814,-0.2380676479811814,-0.2380676479811814
5.0,search,single_unit,0.9677930348298258,0.7197872029944434,1.0,1.0,-0.23806764798093183,-0.23806764798093183,-0.23806764798093183
5.0,search,single_unit,0.9677930348298256,0.7197872029944645,1.0,-1.0,-0.23806764798122648,-0.23806764798122648,-0.23806764798122648
5.0,search,single_unit,0.9677930348298258,0.7197872029944654,1.0,1.0,-0.23806764798123692,-0.23806764798123692,-0.23806764798123692
5.0,search,pair,0.9677930348298259,0.7197872030288697,1.0,4.476067836835234e-17,-0.23806764845910477,-0.23806764845910477,-0.23806764845910477
5.0,search,pair,0.9677930348298259,0.7197872030334288,1.0,-5.485115982018389e-19,-0.238067648522429,-0.238067648522429,-0.238067648522429
5.0,search,single_unit,0.9677930348298257,0.719787202994417,1.0,-1.0,-0.23806764798056557,-0.23806764798056557,-0.23806764798056557
5.0,search,single_unit,0.9677930348298257,0.7197872029944612,1.0,1.0,-0.23806764798118063,-0.23806764798118063,-0.23806764798118063
5.0,search,single_unit,0.9677930348298257,0.7197872029946184,1.0,-1.0,-0.23806764798336344,-0.23806764798336344,-0.23806764798336344
5.0,search,pair,0.9677930348298257,0.7197872029944609,1.0,-3.89513299842378e-18,-0.23806764798117286,-0.23806764798117286,-0.23806764798117286
5.0,search,single_unit,0.9677930348298258,0.7197872029944505,1.0,-1.0,-0.23806764798103242,-0.23806764798103242,-0.23806764798103242
5.0,search,single_unit,0.9677930348298256,0.7197872029944219,1.0,1.0,-0.2380676479806334,-0.2380676479806334,-0.2380676479806334
5.0,search,single_unit,0.9677930348298257,0.7197872029944606,1.0,1.0,-0.23806764798117286,-0.23806764798117286,-0.23806764798117286
5.0,search,pair,0.9677930348298258,0.7197872029876717,1.0,2.829571260272779e-17,-0.2380676478868763,-0.2380676478868763,-0.2380676478868763
5.0,search,single_unit,0.9677930348298257,0.7197872029944575,1.0,1.0,-0.23806764798112923,-0.23806764798112923,-0.23806764798112923
5.0,search,pair,0.9677930348298258,0.7197872029691222,1.0,5.30376299658632e-18,-0.23806764762922805,-0.23806764762922805,-0.23806764762922805
