configuration,amplitude,frequency,activation,width,depth,seed,eval_errors,dense_errors,regionally_separating,duration_seconds
A_a0.15,0.15,100.0,gelu,3,5,7,36,,False,0.9734324580058455
A_a0.15,0.15,100.0,gelu,3,5,8,1,,False,0.9895517078693956
A_a0.15,0.15,100.0,gelu,3,5,9,124,,False,1.25481583410874
A_a0.15,0.15,100.0,gelu,3,5,10,72,,False,0.9959492499474436
A_a0.15,0.15,100.0,gelu,3,5,11,94,,False,0.9803107499610633
A_a0.15,0.15,100.0,gelu,3,5,12,83,,False,0.986511625116691
A_a0.15,0.15,100.0,gelu,3,5,13,71,,False,1.0951594999060035
A_a0.15,0.15,100.0,gelu,3,5,14,80,,False,1.036886875052005
A_a0.15,0.15,100.0,gelu,3,5,15,78,,False,0.9938689169939607
A_a0.15,0.15,100.0,gelu,3,5,16,97,,False,0.9841445421334356
A_a0.15,0.15,100.0,gelu,3,5,17,0,0.0,True,1.1082459590397775
A_a0.15,0.15,100.0,gelu,3,5,18,74,,False,1.0973959581460804
A_a0.15,0.15,100.0,gelu,3,5,19,77,,False,0.9987207921221852
A_a0.15,0.15,100.0,gelu,3,5,20,47,,False,0.9896266248542815
A_a0.15,0.15,100.0,gelu,3,5,21,93,,False,1.0222796658053994
A_a0.15,0.15,100.0,gelu,3,5,22,117,,False,0.9795416670385748
A_a0.15,0.15,100.0,gelu,3,5,23,86,,False,1.0001679579727352
A_a0.15,0.15,100.0,gelu,3,5,24,0,10.0,False,1.05369404098019
A_a0.15,0.15,100.0,gelu,3,5,25,94,,False,1.0697410840075463
A_a0.15,0.15,100.0,gelu,3,5,26,113,,False,1.0118302088230848
A_a0.15,0.15,100.0,gelu,3,5,27,100,,False,1.1227847498375922
A_a0.15,0.15,100.0,gelu,3,5,28,82,,False,1.0632875000592321
A_a0.15,0.15,100.0,gelu,3,5,29,80,,False,1.0745928341057152
A_a0.15,0.15,100.0,gelu,4,5,0,21,,False,1.075407792115584
A_a0.15,0.15,100.0,gelu,4,5,1,108,,False,1.0013274170923978
A_a0.15,0.15,100.0,gelu,4,5,2,0,0.0,True,0.9511053340975195
A_a0.15,0.15,100.0,gelu,4,5,3,0,0.0,True,0.9028340829536319
A_a0.15,0.15,100.0,gelu,4,5,4,106,,False,1.3075213748961687
A_a0.15,0.15,100.0,gelu,4,5,5,0,0.0,True,1.0477736669126898
A_a0.15,0.15,100.0,gelu,4,5,6,0,0.0,True,0.9493234171532094
A_a0.15,0.15,100.0,gelu,4,5,7,0,0.0,True,0.9103632078040391
A_a0.15,0.15,100.0,gelu,4,5,8,3,,False,0.9086037499364465
A_a0.15,0.15,100.0,gelu,4,5,9,0,0.0,True,0.9043054580688477
A_a0.15,0.15,100.0,gelu,4,5,10,0,6.0,False,0.9748073341324925
A_a0.15,0.15,100.0,gelu,4,5,11,0,0.0,True,0.9170709170866758
A_a0.15,0.15,100.0,gelu,4,5,12,0,0.0,True,0.9222795409150422
A_a0.15,0.15,100.0,gelu,4,5,13,0,0.0,True,0.9254183331504464
A_a0.15,0.15,100.0,gelu,4,5,14,0,0.0,True,0.922614041948691
A_a0.15,0.15,100.0,gelu,4,5,15,0,0.0,True,0.916032874956727
A_a0.15,0.15,100.0,gelu,4,5,16,0,0.0,True,0.9044982499908656
A_a0.15,0.15,100.0,gelu,4,5,17,0,0.0,True,0.9016116668935865
A_a0.15,0.15,100.0,gelu,4,5,18,136,,False,0.8983227501157671
A_a0.15,0.15,100.0,gelu,4,5,19,0,0.0,True,0.9086270418483764
A_a0.15,0.15,100.0,gelu,4,5,20,242,,False,0.9031163330655545
A_a0.15,0.15,100.0,gelu,4,5,21,1,,False,0.921965291025117
