a,seed,arm,budget,placed_at,placed,gap_final,w2_final,R_final,loss_final,grad_100,grad_500,grad_2000,grad_8000,grad_11999
1.3,31,jump,12000,11700.0,True,0.028005537029756944,6.626897954573106,0.2842379301864126,0.2813208905778237,0.2297828512388243,3.8194667603880497e-05,3.8278417910391157e-05,4.6069256265565655e-05,0.008017713169429798
1.3,32,jump,12000,,False,-0.005953169347670428,6.350750919841952,0.27239355562124623,0.6931204995189169,5.539170367292134,5.714839196465426e-06,5.670324848886167e-06,5.770356739077303e-06,0.00014116608212446806
1.3,33,jump,12000,,False,-0.04227541425889214,5.893312837730492,0.25277332688993187,0.6917415424197745,0.08038826725369454,2.6767932708580898e-05,2.648603164836988e-05,0.06240038559108283,0.004751651906198946
1.3,34,jump,12000,,False,-0.006601727036457117,4.641486674733334,0.19908056144181321,0.6931249215678283,0.9285696328561803,3.117924336847676e-07,3.1131097133716313e-07,0.0008556610121766561,0.0012280353822495197
1.3,35,jump,12000,,False,-0.03094579048666568,4.761222919087953,0.20421623464773087,0.6926516730007449,0.6985505563333209,8.742088691239135e-06,8.734773789947768e-06,8.435448138909992e-06,9.604737695479187e-06
1.3,36,jump,12000,9450.0,True,0.0776373153472778,13.111313394367725,0.5623645643537813,0.15712635671065814,0.02169280456057153,3.5930093509446954e-05,3.598170684389249e-05,0.00016016709178465,0.004463997264936112
1.3,37,jump,12000,,False,-0.0160740226799847,4.828359804660885,0.20709583978504,0.6930092235908254,0.05607921088619243,3.956703876917283e-06,3.952523139981882e-06,4.143602634276479e-06,4.577571003561643e-06
1.3,38,jump,12000,2900.0,True,0.08160896749818747,28.79437957395638,1.2350355939094142,0.038707312957473566,0.0004860041895929233,0.00021868828653684818,0.0057408555050740915,0.002362358010033912,0.0009639639914725214
1.3,39,jump,12000,,False,-0.052244028191347436,4.939277159586124,0.21185325714710235,0.6915846163405113,0.9749107136316623,2.2478625845550528e-05,2.236676656645549e-05,2.1734045269774595e-05,4.9353512767392206e-05
1.3,0,cold_high,12000,,False,-0.027827616451018278,5.7499999999999964,0.24662641703182145,0.6925448376065603,0.6262114258568023,4.86747668914093e-06,4.868052312462398e-06,4.859077862340806e-06,4.857828211160868e-06
1.3,1,cold_high,12000,,False,-0.014379738486894666,5.7499999999999964,0.24662641703182145,0.693016863172041,5.942650111984796,5.2031655706694904e-06,5.1977881666849245e-06,1.8941946265838853e-05,5.1796798543306695e-06
1.3,2,cold_high,12000,,False,-0.008635248766921566,5.7499999999999964,0.24662641703182145,0.6930918288237004,0.07433984659630423,3.921571080365071e-07,3.921486461251714e-07,1.1667044277756809e-05,4.173511435937437e-07
1.3,3,cold_high,12000,,False,-0.04565990206762249,5.7499999999999964,0.24662641703182145,0.6914577410089388,2.4482190395825176,5.878802655308696e-05,5.834888526999283e-05,4.4837969012833235e-05,5.6021727750196454e-05
1.3,4,cold_high,12000,,False,-0.0010522515883989447,5.7499999999999964,0.24662641703182145,0.6931463105035565,0.10982101416709467,7.04298440020766e-09,7.025404172894791e-09,0.01412190214694275,4.959790807002067e-05
1.3,5,cold_high,12000,,False,-0.020607603344562464,5.7499999999999964,0.24662641703182145,0.692845589643776,0.4708995238691668,2.1098465954505735e-06,2.1102347124767667e-06,0.005625786731488828,2.80392988980533e-06
1.3,6,cold_high,12000,,False,-0.008536847444278378,5.7499999999999964,0.24662641703182145,0.6930655916931053,0.04938769209474127,6.583026772191393e-07,6.582848242740709e-07,9.328494814128166e-05,0.012178468686236787
1.3,7,cold_high,12000,,False,-0.0059728715568663215,5.7499999999999964,0.24662641703182145,0.693121598782809,0.020141354590722534,2.970155280981004e-07,2.9703038848384077e-07,0.004373851538413676,0.021849732625199517
1.3,8,cold_high,12000,,False,-0.0016113035700540124,5.7499999999999964,0.24662641703182145,0.6931452094237077,0.1776317406498141,1.479044655719668e-08,1.4868625506750563e-08,4.583816715808322e-05,6.095859777790606e-08
1.3,9,cold_high,12000,5900.0,True,-0.0008983436410412438,5.7499999999999964,0.24662641703182145,0.32076713700744564,5.686343066151301,0.5807971677573487,0.5,6.279886774500867e-06,3.518950449183625e-05
1.3,10,cold_high,12000,,False,-0.04176625918235022,5.7499999999999964,0.24662641703182145,0.69187346630617,0.07486134616230412,1.0371401899974781e-05,1.0373520793814722e-05,1.9846590999195017e-05,0.0002739689687795202
1.3,11,cold_high,12000,,False,-0.018658312444437497,5.7499999999999964,0.24662641703182145,0.692887927436385,0.12687281815861604,1.6850143397043013e-06,1.684806622029478e-06,2.022769962961852e-06,0.0011498040472938866
1.3,12,cold_high,12000,,False,-0.025558981749034926,5.7499999999999964,0.24662641703182145,0.6926747517475144,5.855508423171401,8.171541328600615e-06,8.170724351629486e-06,8.23178919099661e-06,0.0008742521813123674
1.3,13,cold_high,12000,,False,-0.03817404579109285,5.7499999999999964,0.24662641703182145,0.6920458652782735,0.6851919133309012,1.3540794828765775e-05,1.3531933707976326e-05,1.3174111265587423e-05,0.004298450127526927
1.3,14,cold_high,12000,,False,-0.0011000146834874158,5.7499999999999964,0.24662641703182145,0.6931462737090626,0.5795027890893714,6.532216186556467e-09,6.8929188695384725e-09,8.46121013646001e-06,3.0026335537107427e-05
1.3,15,cold_high,12000,,False,-0.013046445825199038,5.7499999999999964,0.24662641703182145,0.6930320353157537,0.3139595693683757,8.443402046781459e-07,8.441731644210062e-07,8.420339282292264e-07,0.07536539592355174
1.3,16,cold_high,12000,,False,-0.004171748394648844,5.7499999999999964,0.24662641703182145,0.6931337179811484,0.03648567975639163,8.975133404119885e-08,8.974858648151574e-08,1.0205435555776347e-07,7.065602500872303e-06
1.3,17,cold_high,12000,,False,-0.002087539274945094,5.7499999999999964,0.24662641703182145,0.6931442663322891,0.12683852150960828,2.9379022361156586e-08,2.9386905571117073e-08,1.0271600672114522e-07,0.000699436349787161
1.3,18,cold_high,12000,,False,-0.0289693707330807,5.7499999999999964,0.24662641703182145,0.69300222288833,4.187156313782273,1.1110304869493486e-05,1.111586612946169e-05,1.1312378347324154e-05,0.0639535148333066
1.3,19,cold_high,12000,,False,-0.03938408760472256,5.7499999999999964,0.24662641703182145,0.6920266261899406,0.36689703475727814,7.104311094666462e-06,7.106008968465971e-06,0.00042950841105488625,2.185269428589158e-05
1.3,20,cold_high,12000,,False,-0.030537404621448716,5.7499999999999964,0.24662641703182145,0.6924541068311635,1.2540035600702306,5.020919923481152e-06,5.020114190917115e-06,5.015331997553483e-06,7.970658863335937e-05
1.3,21,cold_high,12000,,False,-0.027473332164250963,5.7499999999999964,0.24662641703182145,0.6925724147704745,0.0883530577105068,4.916097813543779e-06,4.9160166697611745e-06,0.00020709062533691539,4.501925008326343e-06
1.3,22,cold_high,12000,,False,-0.010776003665867506,5.7499999999999964,0.24662641703182145,0.693050806971177,5.973424214812405,3.847158808943608e-06,3.8347954918117015e-06,3.819574177300255e-06,3.5558350671163393e-06
1.3,23,cold_high,12000,,False,-0.01004565418021608,5.7499999999999964,0.24662641703182145,0.6930628415704098,0.10543412432938283,1.5128147564893611e-06,1.5126630685124566e-06,1.5091791247752386e-06,0.00034445198580217916
1.3,24,cold_high,12000,,False,-0.040968141244006384,5.7499999999999964,0.24662641703182145,0.6919146815781582,0.2840175457634427,9.313393450680841e-06,9.314217221338748e-06,9.205308772620403e-06,8.426498132815914e-06
1.3,25,cold_high,12000,,False,-0.049913184938520594,5.7499999999999964,0.24662641703182145,0.6913271628865241,0.2813169695991456,1.6213017039233453e-05,1.6215454077511943e-05,1.6349794274274528e-05,0.017279276814379036
1.3,26,cold_high,12000,,False,-0.008846449178796248,5.7499999999999964,0.24662641703182145,0.6930884477130763,0.19090285893824765,4.231197165121036e-07,4.230954349709599e-07,4.2131289247679534e-07,0.00034608786346597366
1.3,27,cold_high,12000,7800.0,True,0.018293855800630254,5.7499999999999964,0.24662641703182145,0.29370424637001413,0.7240582661430177,0.5000000546554898,0.4999815967895274,0.00418991927564146,3.765760640260133e-15
1.3,28,cold_high,12000,,False,-0.05283224460878788,5.7499999999999964,0.24662641703182145,0.6910439075073606,1.3361077144840556,2.3655525261887536e-05,2.3665952412004207e-05,0.0029780134526345807,2.9244172061517855e-05
1.3,29,cold_high,12000,,False,-0.020728783829459196,5.7499999999999964,0.24662641703182145,0.6930060714260498,1.4901830048554465,1.301779598999095e-06,1.3013812755541485e-06,2.572041537602539e-06,0.08187360381043912
1.3,30,cold_high,12000,5550.0,True,0.00708237199593631,5.7499999999999964,0.24662641703182145,0.32208509721911904,3.5062919349049775,0.5027235657064894,0.5,1.9678137151582498e-07,2.33600358070011e-14
1.3,31,cold_high,12000,,False,-0.07033213383982462,5.7499999999999964,0.24662641703182145,0.68962731143247,0.2829581236913371,2.6287179252380623e-05,2.629626035545471e-05,2.592805452077027e-05,2.50494753882597e-05
1.3,32,cold_high,12000,,False,-0.01304717093447838,5.7499999999999964,0.24662641703182145,0.6930939118822818,6.031846730818771,2.559274212344294e-05,2.346462312814025e-05,0.0001531980836058377,8.349449612403664e-05
1.3,33,cold_high,12000,,False,-0.04381388768181266,5.7499999999999964,0.24662641703182145,0.6917439575753599,0.10014448597203388,1.068288716352314e-05,1.0681583822661105e-05,0.01605686207673994,1.0557489598130811e-05
1.3,34,cold_high,12000,,False,-0.005456676422303908,5.7499999999999964,0.24662641703182145,0.6931248074204446,1.2339780362738832,1.5863999501138423e-07,1.5809406940460718e-07,1.58277275784988e-07,1.5711804302771975e-07
1.3,35,cold_high,12000,,False,-0.025724082949145077,5.7499999999999964,0.24662641703182145,0.6926496619244554,1.4667841422752785,3.6006333631511343e-06,3.5994073269437725e-06,3.5959113868701415e-06,0.00016975682825994524
1.3,36,cold_high,12000,,False,-0.07253451814682427,5.7499999999999964,0.24662641703182145,0.6893214695034767,0.02886414357540386,2.776718692148875e-05,7.338273889189669e-05,2.8072232089790974e-05,2.8693363663580394e-05
1.3,37,cold_high,12000,,False,-0.013640146402889464,5.7499999999999964,0.24662641703182145,0.69300778075909,0.2299441524202433,1.3110069721498563e-06,1.3108503692104448e-06,1.4519208771052816e-06,1.3664953709597522e-06
1.3,38,cold_high,12000,10350.0,True,-0.0004260047206208206,5.7499999999999964,0.24662641703182145,0.2871938119326697,0.0042998671401206865,9.022665932205206e-05,0.004374839498166735,0.026369968635644055,2.0269791016986088e-16
1.3,39,cold_high,12000,,False,-0.044835398515590486,5.7499999999999964,0.24662641703182145,0.6915858152723996,2.045437502769506,9.5635611113105e-06,9.559917350790561e-06,0.009618097295244502,1.1777564534974384e-05
