a,seed,precision,exact_sep,grid_solved,agree,exact_gap,grid_gap,certified,inner_max_logit,outer_min_logit
1.02,70,float64,False,False,True,-0.3861358336427383,-0.3861358336427383,False,0.23925426080463552,-0.8794214770473321
1.02,71,float32,False,False,True,-0.32501225342468576,-0.3250122534246857,False,0.22052296642933555,-1.0524462904956238
1.02,71,float64,False,False,True,-0.8443984879732755,-0.8443984879732755,False,0.24445418264388996,-1.0578309939982162
1.02,72,float32,False,False,True,-0.53245115522718,-0.53245115522718,False,0.26455641889200887,-0.9295899934653002
1.02,72,float64,False,False,True,-0.12831026042435822,-0.1287382205581247,False,0.031262000493035125,-0.08508352624281568
1.02,73,float32,False,False,True,-0.5882186983513282,-0.5882186983513282,False,0.2290961765401205,-0.980398145469926
1.02,73,float64,False,False,True,-0.6744269639218894,-0.6744269639218894,False,0.2991768802888135,-0.7696214424595826
1.02,74,float32,False,False,True,-0.09371277261281191,-0.093805027900815,False,0.00868986172785724,-0.023054635329415728
1.02,74,float64,False,False,True,-0.4837975569894204,-0.4837975569894204,False,0.2331503279921181,-0.886306270407502
1.02,75,float32,False,False,True,-0.3865244949542128,-0.3865244949542128,False,0.22803790795462575,-0.9078479688490795
1.02,75,float64,False,False,True,-0.286866776167948,-0.286866776167948,False,0.22104291970453538,-0.9038698906697746
1.02,76,float32,False,False,True,-0.5007079811318089,-0.5007079811318089,False,0.296421291754541,-0.9114096466918413
1.02,76,float64,False,False,True,-0.46048581087657814,-0.4604858108765781,False,0.2951771705319901,-0.9104745095875737
1.02,77,float32,False,False,True,-0.35395362181620404,-0.353953621816204,False,0.21253172970356005,-1.003239531041526
1.02,77,float64,False,False,True,-0.5788730941809797,-0.5788730941809797,False,0.22198609697885807,-1.004269357123711
1.02,78,float32,False,False,True,-0.7002798829337795,-0.7002798829337795,False,0.20472226490920775,-1.0078946007629597
1.02,78,float64,False,False,True,-0.4957869827087449,-0.4957869827087449,False,0.1973946062464318,-1.0084384713079446
1.02,79,float32,False,False,True,-0.20811726559886223,-0.208169897319068,False,0.014750577071653847,-0.03795015458207099
1.02,79,float64,False,False,True,-0.32787927931384253,-0.3278792793138425,False,0.2344183200718657,-0.8615679696298795
1.02,80,float32,False,False,True,-0.04553284421695969,-0.0456211006706934,False,0.006525042258063496,-0.016598254819736702
1.02,80,float64,False,False,True,-0.5532574796532144,-0.5532574796532144,False,0.27812087537683716,-0.877970942875562
1.02,81,float32,False,False,True,-0.7100219147277698,-0.7100219147277702,False,0.19887455176758673,-0.7851513518526474
1.02,81,float64,False,False,True,-0.3492735415904227,-0.3517421275072155,False,0.05882116546451707,-0.14937353187093277
1.02,82,float32,False,False,True,-0.17383924418781166,-0.174054753222397,False,0.05415115077566185,-0.15212160742266087
1.02,82,float64,False,False,True,-0.5931209344453943,-0.5931209344453943,False,0.2425946698475423,-0.9524192052627374
1.02,83,float32,False,False,True,-0.6341845142323166,-0.6341845142323166,False,0.2917153613748651,-1.0187428366645719
1.02,83,float64,False,False,True,-0.5112028153832,-0.5112028153832,False,0.2865503172503221,-1.0198659945557678
1.02,84,float32,False,False,True,-0.404536243286191,-0.404536243286191,False,0.20692095587425463,-0.8171970171765004
1.02,84,float64,False,False,True,-0.20113839452914245,-0.2011383945291424,False,0.06818077275633666,-0.16724227988271873
1.02,85,float32,False,False,True,-0.5123556656497801,-0.5123556656497801,False,0.29345457534024,-0.8943372478838674
1.02,85,float64,False,False,True,-0.5085458262780378,-0.5085458262780378,False,0.2932709610202009,-0.8945884531981934
1.02,86,float32,False,False,True,-0.6134187180322062,-0.6134187180322062,False,0.08228315209212866,-0.22423822029146268
1.02,86,float64,False,False,True,-0.46564274427063346,-0.4656427442706334,False,0.23625167879894438,-0.7622414286359538
1.02,87,float32,False,False,True,-0.64084779586066,-0.64084779586066,False,0.30811710033696116,-0.8607852309884887
1.02,87,float64,False,False,True,-0.5345163939981132,-0.5345163939981132,False,0.30602154862448483,-0.861750718893302
1.02,88,float32,False,False,True,-0.47479420452636845,-0.4747942045263684,False,0.234658197633828,-1.0213950150098272
1.02,88,float64,False,False,True,-0.47024415234791306,-0.470244152347913,False,0.23477619729075005,-1.0205421347709471
1.02,89,float32,False,False,True,-0.35599327167562533,-0.3559932716756253,False,0.24714997000818606,-0.8154987356410146
1.02,89,float64,False,False,True,-0.3981964812843999,-0.3981964812843999,False,0.2387546851400586,-0.8709349298175759
1.02,90,float32,False,False,True,-0.3284226105509065,-0.3284226105509065,False,0.2700774398386425,-0.7458625584749967
1.02,90,float64,False,False,True,-0.6134159166832123,-0.6134159166832123,False,0.22205518196977536,-0.9267951891229744
1.02,91,float32,False,False,True,-0.5356432726209377,-0.5356432726209377,False,0.24408560025487525,-0.9911750850953291
1.02,91,float64,False,False,True,-0.8210576017129152,-0.8210576017129152,False,0.25102545303690693,-0.9896964712902703
1.02,92,float32,False,False,True,-0.2783662310881756,-0.2801799560861244,False,0.05761569880639472,-0.1465074089263881
1.02,92,float64,False,False,True,-0.5664487031821479,-0.5664487031821479,False,0.29896850584397416,-0.909308038104542
1.02,93,float32,False,False,True,-0.5448132216689028,-0.5448132216689028,False,0.23468541421875422,-0.9665145606746908
1.02,93,float64,False,False,True,-0.6993222638805778,-0.6993222638805778,False,0.23924864231764964,-0.9661266648510871
1.02,94,float32,False,False,True,-0.6881204348441865,-0.6881204348441865,False,0.2687970804937585,-0.9538556613272595
1.02,94,float64,False,False,True,-0.5792328989944586,-0.5792328989944586,False,0.2655019000468908,-0.9564596164004096
1.02,95,float32,False,False,True,-0.3488485792460785,-0.3488485792460785,False,0.2404658669068045,-0.8876658468809566
1.02,95,float64,False,False,True,-0.6014507920082774,-0.6014507920082774,False,0.249341285941866,-0.8911590145121275
1.02,96,float32,False,False,True,-0.4615997441370654,-0.4615997441370654,False,0.2103724057636338,-0.9459347860177036
