a,seed,optimiser,cross_step,cross_w2,cross_R,local_rate,final_placed,final_solved,R_final
1.25,25,sgd,8850.0,7.581302271725198,0.25111680835459915,0.0005906083553665208,True,True,0.42995704715150485
1.25,26,sgd,,,,,False,False,0.017841780871843394
1.25,27,sgd,7550.0,6.741963225337869,0.22331523351932808,0.000588177218654039,True,False,0.4177069260243606
1.25,28,sgd,8725.0,7.501874590596157,0.24848591130482453,0.0005872841693959791,True,True,0.4293545278226427
1.25,29,sgd,6375.0,6.322748318478071,0.20942950443846564,0.0006845766666869865,True,True,0.44554955972055177
1.25,30,sgd,7725.0,7.195119102461302,0.23832519532691473,0.0006273106434844537,True,True,0.44131798361121033
1.25,31,sgd,7950.0,7.046316579395938,0.23339638318778572,0.000600682726864011,True,True,0.4261624553196924
1.25,32,sgd,8025.0,7.37596111160521,0.2443152569977202,0.0006268091904515928,True,True,0.4443192075026891
1.25,33,sgd,10200.0,7.049556751564373,0.23350370798032055,0.0006168257948751965,True,True,0.39965427825913474
1.25,34,sgd,6050.0,6.106804714847985,0.2022767664807113,0.0006853086827043722,True,True,0.4426238262282932
1.25,35,sgd,7450.0,6.909850697736115,0.22887619979138973,0.0006309336309007699,True,True,0.43694788664220324
1.25,36,sgd,11450.0,7.911859103127945,0.2620659004111513,0.0005653377158545029,True,True,0.399966625516656
1.25,37,sgd,,,,,False,False,0.024539026144932467
1.25,38,sgd,9100.0,7.559090868231702,0.25038109613070264,0.0005505390047675618,True,False,0.4156862771252865
1.25,39,sgd,7625.0,6.937841951248457,0.22980335900387477,0.0006158076799924056,True,True,0.4310227590794172
1.25,40,sgd,7825.0,7.099085749712066,0.23514426569587768,0.0006167490588920965,True,True,0.43403060499895346
1.25,41,sgd,9025.0,7.8789105683860186,0.26097454030073713,0.0005902153491799964,True,True,0.4378741533060691
1.25,42,sgd,6900.0,6.836473943931463,0.2264457286714653,0.000672060172529026,True,True,0.45268272592544057
1.25,43,sgd,9075.0,7.431231720811599,0.24614599510606427,0.0005965700817412928,True,True,0.4235896788696733
1.25,44,sgd,,,,,False,False,0.03946783782247235
1.25,45,sgd,8125.0,7.1922506082992355,0.2382301816903462,0.0005867983641885552,True,True,0.4256118951966696
1.25,46,sgd,,,,,False,False,0.03280080472514824
1.25,47,sgd,8175.0,7.292534679969002,0.2415519086316973,0.000594754604071767,True,True,0.4307535486394128
1.25,48,sgd,,,,,False,False,0.021089110156478044
1.25,49,sgd,6800.0,6.691821728785231,0.2216543879113932,0.000684781868409915,True,True,0.4528493278591798
1.25,50,sgd,,,,,False,False,0.043667131918603795
1.25,51,sgd,5575.0,5.873110609879587,0.19453607554561758,0.0007333775009151387,True,True,0.4545347721611295
1.25,52,sgd,16600.0,6.759369047622203,0.2238917696317491,0.0006348419245733576,True,False,0.2903199793180042
1.25,53,sgd,5475.0,5.551706720557733,0.18389015799919944,0.0007449114266916107,True,True,0.4477985407942421
1.25,54,sgd,11825.0,7.243011574661237,0.23991154610571336,0.0006040933046140831,True,True,0.38040044025727243
1.25,55,sgd,6425.0,6.321093566376063,0.20937469379359475,0.0006696722007840235,True,True,0.4410953174837493
1.25,56,sgd,7950.0,7.400198822860285,0.24511808696993945,0.0006351158899338604,True,True,0.44749231532257716
1.25,57,sgd,,,,,False,False,0.028062410609377118
1.25,58,sgd,11100.0,6.509520622856934,0.21561599632120926,0.0006407752184267085,True,True,0.37398846714712397
1.25,59,sgd,,,,,False,False,0.008423648241539499
