seed,raw_distance,normalized_distance,init_norm,a,kind
130,23381.208984375,0.999987386530987,2.58758282661438,1.02,constructed
131,23381.775390625,1.0000116110741246,2.6413440704345703,1.02,constructed
132,23381.15234375,0.9999849640766731,2.542044162750244,1.02,constructed
133,23381.587890625,1.000003591915017,2.4991085529327393,1.02,constructed
134,23381.748046875,1.0000104416134215,2.5225398540496826,1.02,constructed
135,23381.0234375,0.9999794509047867,2.52347993850708,1.02,constructed
136,23381.455078125,0.9999979116773157,2.6513009071350098,1.02,constructed
137,23380.958984375,0.9999766943188434,2.547349452972412,1.02,constructed
138,23380.966796875,0.9999770284504729,2.426581859588623,1.02,constructed
139,23381.564453125,1.0000025895201285,2.4286787509918213,1.02,constructed
140,23381.287109375,0.9999907278472818,2.280378818511963,1.02,constructed
141,23381.880859375,1.0000161218511225,2.5239782333374023,1.02,constructed
142,23380.892578125,0.9999738541999929,2.5665571689605713,1.02,constructed
143,23381.669921875,1.0000071002971265,2.4383156299591064,1.02,constructed
144,23381.859375,1.0000152029891416,2.472851514816284,1.02,constructed
145,23380.974609375,0.9999773625821025,2.579667329788208,1.02,constructed
146,23381.216796875,0.9999877206626164,2.486424207687378,1.02,constructed
147,23380.912109375,0.9999746895290665,2.610217571258545,1.02,constructed
148,23381.7890625,1.000012195804476,2.3223183155059814,1.02,constructed
149,23381.849609375,1.0000147853246046,2.6359307765960693,1.02,constructed
150,23381.361328125,0.999993902097762,2.2395379543304443,1.02,constructed
151,23381.0859375,0.9999821239578226,2.3642263412475586,1.02,constructed
152,23381.353515625,0.9999935679661324,2.3978772163391113,1.02,constructed
153,23381.66015625,1.0000066826325897,2.6448700428009033,1.02,constructed
154,23381.287109375,0.9999907278472818,2.2920830249786377,1.02,constructed
155,23381.05078125,0.9999806203654898,2.8553810119628906,1.02,constructed
156,23381.7265625,1.0000095227514403,2.634429693222046,1.02,constructed
157,23381.75390625,1.0000106922121434,2.4391751289367676,1.02,constructed
158,23381.80859375,1.00001303113355,2.559520959854126,1.02,constructed
159,23381.357421875,0.9999937350319471,2.4095773696899414,1.02,constructed
160,23381.953125,1.0000192125686953,2.5965523719787598,1.02,constructed
161,23381.466796875,0.99999841287476,2.661193609237671,1.02,constructed
162,23381.8671875,1.000015537120771,2.509643316268921,1.02,constructed
163,23381.501953125,0.9999999164670926,2.6036312580108643,1.02,constructed
164,23381.87109375,1.0000157041865858,2.5479793548583984,1.02,constructed
165,23382.08984375,1.0000250598722114,2.661482095718384,1.02,constructed
166,23381.052734375,0.9999807038983972,2.557969808578491,1.02,constructed
167,23381.845703125,1.00001461825879,2.4702208042144775,1.02,constructed
168,23381.3046875,0.9999914796434481,2.527148485183716,1.02,constructed
169,23381.279296875,0.9999903937156523,2.563422441482544,1.02,constructed
170,23381.595703125,1.0000039260466465,2.469660997390747,1.02,constructed
171,23381.052734375,0.9999807038983972,2.1805646419525146,1.02,constructed
172,23381.998046875,1.000021133825565,2.5651917457580566,1.02,constructed
173,23381.21484375,0.9999876371297091,2.4817864894866943,1.02,constructed
174,23381.921875,1.0000178760421774,2.370593309402466,1.02,constructed
175,23382.037109375,1.0000228044837123,2.530125617980957,1.02,constructed
176,23381.341796875,0.9999930667686882,2.5713143348693848,1.02,constructed
177,23381.36328125,0.9999939856306693,2.5749337673187256,1.02,constructed
178,23381.50390625,1.0,2.2118189334869385,1.02,constructed
179,23381.267578125,0.9999898925182081,2.489938974380493,1.02,constructed
180,23381.640625,1.000005847303516,2.566122055053711,1.02,constructed
181,23381.744140625,1.0000102745476067,2.300139904022217,1.02,constructed
182,23381.28515625,0.9999906443143745,2.2699458599090576,1.02,constructed
183,23381.02734375,0.9999796179706014,2.4318902492523193,1.02,constructed
184,23381.615234375,1.0000047613757201,2.515415668487549,1.02,constructed
185,23381.111328125,0.9999832098856184,2.494067668914795,1.02,constructed
186,23381.65234375,1.0000063485009603,2.3892619609832764,1.02,constructed
187,23382.09375,1.000025226938026,2.603907823562622,1.02,constructed
188,23381.4765625,0.9999988305392968,2.518388032913208,1.02,constructed
189,23381.177734375,0.999986050004469,2.4532861709594727,1.02,constructed
190,23381.763671875,1.0000111098766804,2.5090949535369873,1.02,constructed
191,23381.103515625,0.9999828757539889,2.508425235748291,1.02,constructed
