family,window,a,seed,stored_cross_step,stored_cross_w2,cross_step,cross_w2,G_cross,reproduced,prev_step,G_prev,w2_prev,cross_w2_interp
Block 3,H10,1.3,100017,2850,7.626980742287605,2850,7.626980742287605,0.0008831165283877951,True,2800,-0.0006961672401137875,7.501222315534757,7.556658139431464
Block 3,H10,1.3,100018,7350,7.8297034073054945,7350,7.8297034073054945,4.7493374519813614e-05,True,7300,-0.0015910848402183042,7.697789513392104,7.825879948704834
Block 3,H10,1.3,100019,5650,7.838017875889173,5650,7.838017875889173,0.00029559881382423825,True,5600,-0.001346483574589108,7.708403937857024,7.814685473929481
Block 3,H10,1.3,100020,3600,8.055484897839678,3600,8.055484897839678,0.000424061800810005,True,3550,-0.0011461222122677306,7.9287816293564894,8.021265968240352
Block 3,H10,1.3,100021,5850,8.596994879906088,5850,8.596994879906088,0.00034290526742664085,True,5800,-0.0009247848171640705,8.480341334114216,8.565440546711992
Block 3,H10,1.3,100022,8650,7.38520010100312,8650,7.38520010100312,0.0007533792055571809,True,8600,-0.0010772024876217756,7.242993060929855,7.326674536547713
Block 3,H10,1.3,100023,3900,7.516805926899068,3900,7.516805926899068,0.0013174017254757864,True,3850,-0.0001111997602656345,7.401059403909008,7.410068904274602
Block 3,H10,1.3,100024,2600,6.996819333969567,2600,6.996819333969567,0.0012163092793158192,True,2550,-0.0005018544202375352,6.87230226187408,6.908672162508345
Block 3,H10,1.3,100025,4000,9.173229512225246,4000,9.173229512225246,0.00027804975106215934,True,3950,-0.0008716901563166068,9.051256563974553,9.143731929615678
Block 3,H10,1.3,100026,2650,6.783572673751681,2650,6.783572673751681,0.0015592389763714465,True,2600,-0.00023802393555705237,6.6602846322022184,6.6766125187134
Block 3,H10,1.3,100027,5550,8.3872571781379,5550,8.3872571781379,0.00018407098301187474,True,5500,-0.001097800039497887,8.273852074023411,8.370972709087303
Block 3,H10,1.3,100028,6250,8.012023254512497,6250,8.012023254512497,0.0011228292240619275,True,6200,-0.00023487483490747252,7.886575743330406,7.908277426612411
Block 3,H10,1.3,100029,4200,9.043869821395019,4200,9.043869821395019,0.0005751362642261171,True,4150,-0.0005790179374756121,8.92411634559732,8.984194462074027
Block 3,H10,1.3,100030,3900,7.515103199090024,3900,7.515103199090024,0.0006499649632698556,True,3850,-0.000847349186991142,7.3994564499140605,7.4649024212056165
Block 3,H10,1.3,100031,5150,9.049377758602283,5150,9.049377758602283,0.000417417758250771,True,5100,-0.0006886216079653451,8.932799677366061,9.005381348693948
Block 3,H10,1.3,100032,3450,9.294355230183767,3450,9.294355230183767,3.716503224326928e-05,True,3400,-0.0010542198608636255,9.163380823694016,9.289895146421403
Block 3,H10,1.3,100033,3050,7.908136718471952,3050,7.908136718471952,0.0012791290354821072,True,3000,-0.00029323178511697634,7.784582028266814,7.807623916549571
Block 3,H10,1.3,100034,8500,6.875269022695504,8500,6.875269022695504,0.0006326559054481429,True,8450,-0.0012896061815697024,6.73116861539712,6.827842621129088
Block 3,H10,1.3,100035,5400,7.533029570519824,5400,7.533029570519824,0.0007479486741344132,True,5350,-0.00045304507230925495,7.422937118776495,7.464466762797085
Block 3,H10,1.3,100036,5800,10.38303991827688,5800,10.38303991827688,0.00025741089499220493,True,5750,-0.0007344861251925572,10.264375036305935,10.35224475219543
Block 3,H10,1.3,100037,2350,6.0617336806246245,2350,6.0617336806246245,0.0022486372776828745,True,2300,-7.937892060994045e-05,5.930645906548999,5.935115637480817
Block 3,H10,1.3,100038,3300,7.877205478064729,3300,7.877205478064729,0.0003391746661800532,True,3250,-0.0011506151816451649,7.753343445016276,7.849006290257859
Block 3,H10,1.3,100039,5000,8.34283362940813,5000,8.34283362940813,0.00032620304283970114,True,4950,-0.001003027271249568,8.213747676878988,8.311154972928106
Block 3,H10,1.3,100041,3700,9.482635333129757,3700,9.482635333129757,0.00020014436526727408,True,3650,-0.0010592968431493155,9.358264159285396,9.46287086180686
Block 3,H10,1.3,100042,4400,8.877757321949664,4400,8.877757321949664,0.0006219630584713975,True,4350,-0.0007197943427170728,8.748327023569827,8.817760735258295
Block 3,H10,1.3,100043,4000,8.670815745394307,4000,8.670815745394307,0.000242213907765354,True,3950,-0.0010313036737179537,8.54411701575002,8.646718555954406
Block 3,H10,1.3,100044,7750,9.118228524899791,7750,9.118228524899791,7.37375720634148e-05,True,7700,-0.001180918899225336,8.984404254183636,9.110363521983391
Block 3,H10,1.3,100045,3900,8.024001661249471,3900,8.024001661249471,0.00016454773350549345,True,3850,-0.0010466784254892225,7.905442198525447,8.007895097886392
Block 3,H10,1.3,100046,4050,8.207139555730521,4050,8.207139555730521,0.0010050815979907313,True,4000,-0.0002772960250152501,8.087038725520713,8.11300883153375
