a,budget,seed,n_checkpoints,init_distance,min_distance,min_at_step,final_distance,final_solved
1.45,2000,7,1999,5.615046754451699,5.6094912129400045,12,20.87338267144085,True
1.5,4000,26,3825,4.849450305314387,4.849450305314387,1,26.057444784949745,True
1.3,2000,16,1746,4.45080731646027,4.45080731646027,1,5.264635417270227,False
1.3,16000,33,13565,4.869447372773807,4.802229075886319,813,127.1815324132692,True
1.5,4000,18,2849,5.400284700612519,4.608031774716128,203,30.494588883479942,True
1.3,16000,17,15981,4.3979277512682335,4.315675214176886,32,4.483406567974851,False
1.45,8000,29,1781,4.586795362954003,4.5666860656358,25,29.077596018746117,True
1.3,8000,36,5666,5.346429996476367,4.851336683641406,503,67.49335339141129,True
1.5,4000,3,2532,5.440374320215302,5.440374320215302,1,28.678168496089445,True
1.5,32000,33,30641,4.910074238352101,4.910074238352101,1,218.4217811239568,True
1.45,32000,31,30940,5.26589007458642,4.783720288574993,204,232.74276978295273,True
1.3,4000,20,746,5.22336472553029,5.191403284332842,24,26.265699363916355,False
1.6,32000,21,24158,4.689360520047775,4.689360520047775,1,166.1851894866665,True
1.6,2000,24,397,5.473077903746857,5.025790966199847,1354,14.299130600777891,True
1.5,8000,8,7956,4.11510286303715,4.11510286303715,1,4.21043738903733,False
1.35,4000,28,1534,4.902519969656838,4.862359596331289,164,28.984372431678953,True
1.35,16000,19,14343,5.637273659722107,5.637273659722107,1,124.70310806150806,True
1.5,32000,20,30383,5.282274086910238,5.238048754603555,31,212.69174123474184,True
1.6,4000,11,3875,4.637246278290337,4.5529931530938335,24,24.16184763272332,True
1.4,2000,9,229,5.636322642231429,5.525395194914892,15,17.634757818711286,False
1.45,2000,8,1958,4.112099230712436,4.112099230712436,1,4.185114540595585,False
1.35,8000,38,6541,5.34823886502125,5.24361444108455,79,67.400537042488,True
1.6,2000,2,1981,5.13011631083921,5.118996978129274,12,20.350674166523035,True
1.3,4000,1,1458,5.637974509871039,5.225987821305943,56,30.421106496802405,True
1.6,8000,27,6881,5.491312858081938,5.48304906072272,3,47.18429158515862,True
1.45,4000,6,3977,4.951952695190006,4.951952695190006,1,12.434596693462735,False
1.4,2000,24,35,5.458546124886569,4.987433234903887,1114,14.681702567295966,False
1.35,8000,25,7943,6.171021842051169,4.748004372078444,1293,49.86097908401993,True
1.3,32000,23,31994,5.199291535789696,4.593828630653499,1525,253.3774234663478,True
1.3,2000,14,1926,5.936013049289845,5.916569544733395,22,5.951467923585574,False
1.35,8000,4,7996,4.822160652846537,4.822160652846537,1,5.150599777741071,False
1.4,32000,35,29560,5.192090548482371,5.146850816211384,31,226.70796243032123,True
1.4,4000,3,1938,5.408909997065626,5.408909997065626,1,28.886201065638442,True
1.45,8000,12,7982,5.533069399995444,5.296018253053923,46,59.816423021639544,True
1.5,2000,37,1831,4.3432457949614145,4.304008278827187,22,4.967058853691497,False
1.45,16000,6,15975,4.951952695190006,4.951952695190006,1,97.10347008542254,True
1.4,8000,3,5936,5.408909997065626,5.408909997065626,1,56.40842796173798,True
