activation,parameter,depth,width,seed,train_errors,eval_errors,dense_errors,solved,steps_to_criterion,final_eval_accuracy,at_chance,inactive_unit_fraction,duration_seconds
tanh,,3,3,154,59,70,-1,False,-1,0.965,False,0.0,0.6748395829927176
tanh,,3,3,155,55,66,-1,False,-1,0.967,False,0.0,0.6671988328453153
tanh,,3,3,156,78,92,-1,False,-1,0.954,False,0.0,0.6659462910611182
tanh,,3,3,157,91,96,-1,False,-1,0.952,False,0.0,0.6674855840392411
tanh,,3,3,158,60,72,-1,False,-1,0.964,False,0.0,0.6675879580434412
tanh,,3,3,159,59,74,-1,False,-1,0.963,False,0.0,0.6648004159796983
tanh,,3,3,160,90,91,-1,False,-1,0.9545,False,0.0,0.6688984578941017
tanh,,3,3,161,76,84,-1,False,-1,0.958,False,0.0,0.6683721661102027
tanh,,3,3,162,66,80,-1,False,-1,0.96,False,0.0,0.6660794580820948
tanh,,3,3,163,94,101,-1,False,-1,0.9495,False,0.0,0.6663922087755054
tanh,,3,3,164,78,88,-1,False,-1,0.956,False,0.0,0.6660095420666039
tanh,,3,3,165,60,69,-1,False,-1,0.9655,False,0.0,0.6662104169372469
tanh,,3,3,166,54,72,-1,False,-1,0.964,False,0.0,0.6686005000956357
tanh,,3,3,167,86,74,-1,False,-1,0.963,False,0.0,0.668307124869898
tanh,,3,3,168,63,75,-1,False,-1,0.9625,False,0.0,0.6628112499602139
tanh,,3,3,169,82,76,-1,False,-1,0.962,False,0.0,0.6695195001084358
tanh,,3,3,170,80,98,-1,False,-1,0.951,False,0.0,0.6653980000410229
tanh,,3,3,171,59,71,-1,False,-1,0.9645,False,0.0,0.6619245829060674
tanh,,3,3,172,63,54,-1,False,-1,0.973,False,0.0,0.672657584073022
tanh,,3,3,173,61,64,-1,False,-1,0.968,False,0.0,0.6678001249674708
tanh,,3,3,174,89,86,-1,False,-1,0.957,False,0.0,0.6659804580267519
tanh,,3,3,175,91,88,-1,False,-1,0.956,False,0.0,0.6731015420518816
tanh,,3,3,176,65,70,-1,False,-1,0.965,False,0.0,0.6788545420859009
tanh,,3,3,177,69,67,-1,False,-1,0.9665,False,0.0,0.6646852500271052
