a,opt,budget,w2,gstar,R,solved
1.05,adam,2000,2.8554956912994385,0.0063357906771699,0.0090459114898169,False
1.05,adam,2000,1.838518142700195,0.0063357906771699,0.0058242330541638,False
1.05,adam,2000,1.013020634651184,0.0063357906771699,0.0032091433464018,False
1.05,adam,2000,1.4980978965759275,0.0063357906771699,0.0047458173433068,False
1.05,adam,2000,2.0643978118896484,0.0063357906771699,0.0065397962052702,False
1.05,adam,2000,2.362801313400269,0.0063357906771699,0.0074851072667231,False
1.05,adam,2000,1.2408274412155151,0.0063357906771699,0.0039308114670149,False
1.05,adam,2000,1.014650821685791,0.0063357906771699,0.0032143076083098,False
1.05,adam,2000,2.013195753097534,0.0063357906771699,0.0063775934418967,False
1.05,adam,2000,2.037749767303467,0.0063357906771699,0.0064553779890432,False
1.05,adam,2000,0.360624760389328,0.0063357906771699,0.0011424214974156,False
1.05,adam,2000,2.250248432159424,0.0063357906771699,0.0071285515188959,False
1.05,adam,2000,3.568792819976806,0.0063357906771699,0.01130556213878,False
1.05,adam,2000,2.056325674057007,0.0063357906771699,0.0065142245174577,False
1.05,adam,2000,2.670095443725586,0.0063357906771699,0.0084585829097552,False
1.05,adam,2000,2.196929931640625,0.0063357906771699,0.0069596440896421,False
1.05,adam,2000,1.5432941913604736,0.0063357906771699,0.0048889944748761,False
1.05,adam,2000,3.4893970489501953,0.0063357906771699,0.0110540446458414,False
1.05,adam,2000,0.3469176292419433,0.0063357906771699,0.0010989987405485,False
1.05,adam,2000,4.480828285217285,0.0063357906771699,0.0141947950377395,False
1.05,adam,2000,3.0108468532562256,0.0063357906771699,0.0095380477116236,False
1.05,adam,2000,2.908231496810913,0.0063357906771699,0.0092129730022732,False
1.05,adam,2000,1.6986145973205566,0.0063357906771699,0.0053810332649041,False
1.05,adam,2000,2.605609655380249,0.0063357906771699,0.008254298681451,False
1.05,adam,2000,1.7250492572784424,0.0063357906771699,0.0054647755009618,False
1.05,adam,2000,3.013780355453491,0.0063357906771699,0.00954734073956,False
1.05,adam,2000,1.6853432655334473,0.0063357906771699,0.0053389910747989,False
1.05,adam,2000,0.5840081572532654,0.0063357906771699,0.0018500767190582,False
1.05,adam,2000,2.028714656829834,0.0063357906771699,0.0064267557046902,False
1.05,adam,2000,0.8631002902984619,0.0063357906771699,0.0027342113863678,False
1.05,adam,2000,1.617817759513855,0.0063357906771699,0.0051250773390439,False
1.05,adam,2000,1.0525150299072266,0.0063357906771699,0.0033342574570337,False
1.05,adam,2000,2.652036190032959,0.0063357906771699,0.008401373084164,False
1.05,adam,2000,2.8283822536468506,0.0063357906771699,0.0089600189570643,False
1.05,adam,2000,2.3875582218170166,0.0063357906771699,0.0075635345614943,False
1.05,adam,2000,1.390838861465454,0.0063357906771699,0.0044060319459592,False
