q,a,budget,seed,w2,solved,gstar,R
2.0,1.05,32000,8,285.4747314453125,True,0.004190706182271242,0.5981703609750468
2.0,1.05,32000,9,279.83740234375,True,0.004190706182271242,0.586358166016339
2.0,1.05,32000,10,282.4154052734375,True,0.004190706182271242,0.5917599924240164
2.0,1.05,32000,11,285.4978332519531,True,0.004190706182271242,0.5982187674170021
2.0,1.05,32000,12,281.9792175292969,True,0.004190706182271242,0.5908460250860159
2.0,1.05,32000,13,279.48822021484375,True,0.004190706182271242,0.585626506163166
2.0,1.05,32000,14,0.7000921368598938,False,0.004190706182271242,0.0014669402230491208
2.0,1.05,32000,15,264.525634765625,True,0.004190706182271242,0.5542746064907647
2.0,1.05,32000,16,283.2691650390625,True,0.004190706182271242,0.593548920588006
2.0,1.05,32000,17,283.987548828125,True,0.004190706182271242,0.5950541882810398
2.0,1.05,32000,18,285.57965087890625,True,0.004190706182271242,0.5983902042345477
2.0,1.05,32000,19,271.9591369628906,True,0.004190706182271242,0.5698504182977686
2.0,1.1,2000,0,4.699821949005127,False,0.011594688519835472,0.02724648579870026
2.0,1.1,2000,1,11.322013854980469,False,0.011594688519835472,0.0656376120328801
2.0,1.1,2000,2,13.366022109985352,False,0.011594688519835472,0.07748743155725712
2.0,1.1,2000,3,10.121213912963867,False,0.011594688519835472,0.058676161381720604
2.0,1.1,2000,4,1.4735759496688843,False,0.011594688519835472,0.008542827073365733
2.0,1.1,2000,5,0.3664972484111786,False,0.011594688519835472,0.002124710719352191
2.0,1.1,2000,6,13.851268768310547,False,0.011594688519835472,0.08030057348654296
2.0,1.1,2000,7,0.6311568021774292,False,0.011594688519835472,0.0036590332642113532
2.0,1.1,2000,8,13.218106269836426,False,0.011594688519835472,0.07662991251041884
2.0,1.1,2000,9,11.197874069213867,False,0.011594688519835472,0.06491793095843867
2.0,1.1,2000,10,12.230840682983398,False,0.011594688519835472,0.07090639402746213
2.0,1.1,2000,11,13.17224407196045,False,0.011594688519835472,0.07636403356081534
2.0,1.1,2000,12,11.830911636352539,False,0.011594688519835472,0.06858786766460234
2.0,1.1,2000,13,11.354072570800781,False,0.011594688519835472,0.06582346744502132
2.0,1.1,2000,14,0.8935056328773499,False,0.011594688519835472,0.005179959751965668
2.0,1.1,2000,15,4.337199687957764,False,0.011594688519835472,0.025144239715098937
2.0,1.1,2000,16,12.392707824707031,False,0.011594688519835472,0.07184479357240292
2.0,1.1,2000,17,12.674561500549316,False,0.011594688519835472,0.0734787963621839
2.0,1.1,2000,18,12.92889404296875,False,0.011594688519835472,0.0749532496670895
2.0,1.1,2000,19,9.342564582824707,False,0.011594688519835472,0.054162063157149554
2.0,1.1,8000,0,60.61437225341797,True,0.011594688519835472,0.35140238305186955
2.0,1.1,8000,1,57.96516036987305,True,0.011594688519835472,0.33604398974549454
2.0,1.1,8000,2,62.5734977722168,True,0.011594688519835472,0.3627601081327363
2.0,1.1,8000,3,55.37522888183594,True,0.011594688519835472,0.3210292652997424
2.0,1.1,8000,4,1.4657087326049805,False,0.011594688519835472,0.008497218107678783
2.0,1.1,8000,5,0.36643165349960327,False,0.011594688519835472,0.00212433044306809
2.0,1.1,8000,6,62.84687042236328,True,0.011594688519835472,0.3643449434968815
2.0,1.1,8000,7,0.6337448358535767,False,0.011594688519835472,0.0036740369863882405
2.0,1.1,8000,8,61.69133377075195,True,0.011594688519835472,0.357645899722538
2.0,1.1,8000,9,57.43563461303711,True,0.011594688519835472,0.3329741466386231
2.0,1.1,8000,10,59.496925354003906,True,0.011594688519835472,0.34492415868378856
2.0,1.1,8000,11,61.77544021606445,True,0.011594688519835472,0.3581334937404925
2.0,1.1,8000,12,59.24545669555664,True,0.011594688519835472,0.3434663083001901
2.0,1.1,8000,13,57.51547622680664,True,0.011594688519835472,0.3334370159599125
2.0,1.1,8000,14,0.8879101276397705,False,0.011594688519835472,0.005147520681795248
2.0,1.1,8000,15,55.06465530395508,True,0.011594688519835472,0.3192287633507327
2.0,1.1,8000,16,60.075862884521484,True,0.011594688519835472,0.3482804588531856
2.0,1.1,8000,17,60.562408447265625,True,0.011594688519835472,0.3511011309785488
2.0,1.1,8000,18,61.39393997192383,True,0.011594688519835472,0.35592180548996666
2.0,1.1,8000,19,52.13741683959961,False,0.011594688519835472,0.3022585542419911
2.0,1.1,32000,0,273.1301574707031,True,0.011594688519835472,1.5834295506232081
2.0,1.1,32000,1,269.1942443847656,True,0.011594688519835472,1.5606117074869132
