a,budget,seed,init_distance_step0,distance_step1_recomputed,logged_first_distance,step1_reproduced,min_distance_logged,min_including_step0,min_at_step0
1.4,2000,24,5.4757385385248885,5.458546124886569,5.458546124886569,True,4.987433234903887,4.987433234903887,False
1.35,8000,25,6.188075761452605,6.171021842051169,6.171021842051169,True,4.748004372078444,4.748004372078444,False
1.3,32000,23,5.183906966309225,5.199291535789696,5.199291535789696,True,4.593828630653499,4.593828630653499,False
1.3,2000,14,5.93787790436286,5.936013049289845,5.936013049289845,True,5.916569544733395,5.916569544733395,False
1.35,8000,4,4.813295702918154,4.822160652846537,4.822160652846537,True,4.822160652846537,4.813295702918154,True
1.4,32000,35,5.195293762886141,5.192090548482371,5.192090548482371,True,5.146850816211384,5.146850816211384,False
1.4,4000,3,5.4009969608436075,5.408909997065626,5.408909997065626,True,5.408909997065626,5.4009969608436075,True
1.45,8000,12,5.548815530778494,5.533069399995444,5.533069399995444,True,5.296018253053923,5.296018253053923,False
1.5,2000,37,4.346698083703376,4.3432457949614145,4.3432457949614145,True,4.304008278827187,4.304008278827187,False
1.45,16000,6,4.950620729583156,4.951952695190006,4.951952695190006,True,4.951952695190006,4.950620729583156,True
1.4,8000,3,5.4009969608436075,5.408909997065626,5.408909997065626,True,5.408909997065626,5.4009969608436075,True
1.35,2000,24,5.465068391091879,5.44786309205623,5.44786309205623,True,4.945283063485185,4.945283063485185,False
1.5,16000,14,5.980315480348987,5.977994196847613,5.977994196847613,True,5.9498694519855935,5.9498694519855935,False
1.3,16000,38,5.35059516153226,5.340723081458166,5.340723081458166,True,5.195375725670677,5.195375725670677,False
1.4,32000,18,5.412714089431145,5.396696614091343,5.396696614091343,True,4.591455176323083,4.591455176323083,False
1.4,4000,1,5.676898687211477,5.660416838607258,5.660416838607258,True,5.252735445575301,5.252735445575301,False
1.6,4000,19,5.652677060189068,5.6655547199185055,5.6655547199185055,True,5.6655547199185055,5.652677060189068,True
1.3,16000,2,5.086429493088946,5.085372809893849,5.085372809893849,True,5.081403534861368,5.081403534861368,False
1.4,2000,27,5.449655232898851,5.444929790841034,5.444929790841034,True,5.429704347913859,5.429704347913859,False
1.6,8000,1,5.6841632914684475,5.667721636249399,5.667721636249399,True,5.264960372090985,5.264960372090985,False
1.4,4000,8,4.104695262867849,4.1063516565855975,4.1063516565855975,True,4.1063516565855975,4.104695262867849,True
