a,seed,reproduced,sqrt_v_w1,sqrt_v_b1,sqrt_v_b2
1.45,830076,True,0.019857091252219863,0.011081217180217791,0.017251482044227474
1.45,830077,True,0.005875272161009554,0.010318668206811252,0.013172327759485411
1.45,830078,True,0.016144429610231572,0.007078257036936559,0.013052574587003127
1.45,830079,True,0.011113743805016426,0.009957973152383962,0.012584592883423888
1.6,830000,True,0.010047003892859983,0.014887192492125166,0.03147067560700945
1.6,830001,True,0.02017938654277365,0.006726400723874986,0.012874553915430385
1.6,830002,True,0.02626282028308585,0.006913476806834713,0.012414411934463543
1.6,830003,True,0.021481781202508928,0.008965544765524382,0.011838672961753043
1.6,830005,True,0.012064491344943532,0.0220651720573828,0.03088134687287838
1.6,830004,True,0.03294761142206463,0.0022243407237115525,0.01305171680243371
1.6,830006,True,0.010072289436145068,0.022713401687140616,0.026783890049758237
1.6,830007,True,0.007071126677819929,0.024507576837113642,0.032189035812471324
1.6,830009,True,0.01564739978854116,0.012884748796046305,0.023059770955257748
1.6,830008,True,0.01895898529560224,0.00963748129225733,0.012198873996731916
1.6,830011,True,0.022120746544100182,0.005421032740153974,0.015275723810018401
1.6,830010,True,0.01849403860245148,0.01610784495745047,0.013734083678951046
1.6,830012,True,0.011143296623667712,0.014473151032645404,0.04272260410815275
1.6,830013,True,0.03387582280138322,0.026013208497075963,0.01983061873627769
1.6,830014,True,0.004521885415094005,0.02211718859250466,0.0374473375602636
1.6,830015,True,0.007445403832316936,0.016460668604265143,0.03428959992232384
1.6,830016,True,0.013714921151826313,0.014907080401406978,0.030711123327617034
1.6,830017,True,0.04015760903621597,0.026509177921625923,0.01630353382750794
1.6,830018,True,0.021747676489499178,0.02996616540885705,0.030249449487717583
1.6,830019,True,0.005579538619501201,0.015893281180884036,0.017734965802707465
1.6,830021,True,0.00601867622428206,0.02261484272332306,0.0274685239396906
1.6,830020,True,0.01616115212037954,0.009877107470036957,0.0128036083368623
1.6,830022,True,0.009586670152984282,0.012406932083822073,0.031071605921261986
1.6,830023,True,0.015370448576060904,0.0010829700791108736,0.04369514702454735
1.6,830024,True,0.03372797866385369,0.008629702905650127,0.01932392970640356
1.6,830026,True,0.008548347353544997,0.019161647741180773,0.029426433479372356
1.6,830025,True,0.02184402560826656,0.008431035795592994,0.011960946697199607
1.6,830027,True,0.011895861855956239,0.012726899512029212,0.017064379250807678
1.6,830028,True,0.03436904070150277,0.004763632579678466,0.01683946398639673
1.6,830030,True,0.032034744004459874,0.0018744585243710243,0.01491683160891595
1.6,830029,True,0.01799079593372806,0.011261285684200893,0.01154843797948238
1.6,830031,True,0.02037997667435781,0.023629333526352908,0.02899311395263194
1.6,830032,True,0.08597658092778632,0.02237810946225764,0.012656174870684156
1.6,830034,True,0.025226500656939283,0.016740737854722427,0.02973950172793202
1.6,830033,True,0.0186493051318319,0.00986795497076787,0.012581919392922936
1.6,830036,True,0.02176235705825361,0.019555705109925506,0.026572019492616287
1.6,830038,True,0.009112916584019113,0.02414668257052466,0.03465878981655771
1.6,830037,True,0.025015089828688185,0.015474331025567088,0.020441042187892236
1.6,830035,True,0.012981492018323545,0.014543099552669749,0.010407516809799828
1.6,830039,True,0.02292147917789851,0.014420806601484478,0.05033788295459561
1.6,830040,True,0.006554031537041102,0.020335418125897627,0.03676391686109417
1.6,830041,True,0.025715393311532983,0.009641283144082259,0.03168033748250984
1.6,830042,True,0.012601925545436177,0.01389341129009839,0.04496588100369444
1.6,830043,True,0.003958780341840805,0.029507188496689218,0.03800880037853866
1.6,830044,True,0.024826100971409724,0.024957213295383408,0.03014425682052048
1.6,830045,True,0.027686955193391784,0.0036501593372886545,0.012119658341733506
1.6,830047,True,0.031086603602315778,0.03639344445518398,0.025307343115219615
1.6,830046,True,0.01997973167383553,0.008858471051037457,0.012236460821748488
1.6,830048,True,0.018877476719609376,0.01091775516413721,0.035142769228395924
1.6,830050,True,0.029041344943922624,0.036818427485698954,0.028527798766386992
1.6,830051,True,0.00960928415476987,0.02354902924770382,0.03989043474325466
1.6,830049,True,0.017561508636609935,0.01057763180677253,0.011329549356825497
1.6,830052,True,0.01884128212801862,0.01403813204368746,0.03914455411907435
1.6,830053,True,0.04584684348254491,0.004104967655327084,0.009222329113027557
1.6,830054,True,0.00870102081108823,0.011865420718589051,0.020233668770653794
1.6,830055,True,0.01840335152622476,0.025771530054580386,0.031557927188976154
1.6,830056,True,0.007513465324781132,0.020979752958772753,0.04065972244646269
1.6,830057,True,0.01632119356075515,0.025380754147327128,0.04847437581880936
1.6,830058,True,0.034218656279557634,0.029415983360627892,0.016628116548381422
1.6,830060,True,0.013761864951916485,0.00931245800645117,0.0354813287220999
1.6,830059,True,0.022182551371585733,0.010554447046277341,0.020679237454832692
1.6,830061,True,0.005762318844616171,0.02146892324519084,0.04097870775171093
1.6,830063,True,0.06655179263813442,0.010838277636425555,0.02083626846238829
1.6,830064,True,0.01253936467394844,0.01685508718584898,0.03195772721425086
1.6,830062,True,0.01347365488786047,0.013446364524962496,0.01233559330427277
1.6,830065,True,0.014123624329944184,0.0443383609027085,0.031314546628098405
1.6,830066,True,0.03673041394168209,0.016498644754149472,0.02199857594836117
1.6,830067,True,0.01952740770677946,0.020343483516537926,0.029063690463493524
1.6,830068,True,0.012068273635947483,0.01570692077317035,0.03461364991702933
1.6,830070,True,0.05243122074453529,0.03994164495162864,0.024082801616380704
1.6,830069,True,0.01830467509871614,0.008375861235697349,0.01289428221948482
1.6,830071,True,0.020434158442632255,0.029768521822591803,0.024309291093826454
1.6,830073,True,0.025585805941677253,0.0048461171808595925,0.027006460077731748
1.6,830072,True,0.03848540216736391,0.005567214351685505,0.010530670647990696
1.6,830074,True,0.08602155037055324,0.00770468495461318,0.013511408702407265
1.6,830075,True,0.002552415000137126,0.023201016976091685,0.04341195361747725
1.6,830076,True,0.030761136012753428,0.016679001562736266,0.0226821955202096
1.6,830077,True,0.008172783980033585,0.013081772502736283,0.013637292318031175
1.6,830078,True,0.02104032573181401,0.009454896245471177,0.014118916627568845
1.6,830079,True,0.014494509273709452,0.012112738365458172,0.01313604241543006
