seed,crossed,step_obs,t_rule,t_sw,r_obs,r_traj_committed,r_cf_committed,registered_r_traj,registered_r_cf,registered_status_traj,p_switch_r_traj,p_switch_r_cf,p_switch_status_traj,p_cross_r_traj,p_cross_r_cf,p_cross_status_traj,p_switch_before_crossing
1650065,True,4392.0,4209,4353,0.1063067939765345,0.0724799893930805,0.0794458946450608,0.07247998939308054,0.07944589464506083,ok,0.09599964263371041,0.1085481318280267,ok,0.10116396699247465,0.11195378385614703,ok,True
1650066,True,2440.0,2323,2419,0.0857197007685155,0.0512826326586592,0.0709439751086404,0.05128263265865929,0.07094397510864046,ok,0.07818803434248611,0.10804026303628932,ok,0.08196246302455101,0.11267029696890703,ok,True
1650067,True,1526.0,1342,1495,0.0800031118380486,0.0623585185911259,0.0726356431382206,0.062358518591125955,0.07263564313822067,ok,0.07498263410921346,0.0891675994657222,ok,0.07749492863715846,0.09078237774220078,ok,True
1650069,True,2790.0,2629,2754,0.1029212047753143,0.0783629869599864,0.0894138501877111,0.07836298695998645,0.08941385018771116,ok,0.09478512262605632,0.1113782277309444,ok,0.09750259440388453,0.11444868339069246,ok,True
1650070,True,3221.0,3131,3203,0.0911389188136204,0.0497595734283458,0.0668963199000415,0.049759573428345805,0.06689631990004154,ok,0.08201068640446207,0.13832579657993177,ok,0.08656791204397218,0.14688861033169087,ok,True
1650071,True,1568.0,1077,1490,0.0864411796366182,0.0940534798066339,0.087468541734143,0.09405347980663392,0.08746854173414303,ok,0.08317530173511867,0.07679715597876607,ok,0.08099688484582712,0.07467970916674574,ok,True
1650073,True,2428.0,2181,2381,0.0926220108983477,0.0755318871649164,0.074203803493457,0.07553188716491643,0.07420380349345707,ok,0.08694598856750124,0.08562962841332544,ok,0.08694598856750124,0.08644938038709517,ok,True
1650074,True,855.0,331,773,0.0926358794879731,0.1239689447861993,0.1402855760117,0.12396894478619935,0.1402855760117,ok,0.0903966706470396,0.10196371061578054,ok,0.0870375803966188,0.09755109311035678,ok,True
1650075,True,1467.0,1328,1439,0.0874005991465785,0.0484036202761133,0.0701873926357461,0.048403620276113335,0.07018739263574611,ok,0.07853766281434837,0.12028166629173709,ok,0.0815009515663585,0.12569427515486115,ok,True
1650076,True,6520.0,6428,6498,0.1117317524132577,0.0741876194581152,0.110222770238153,0.07418761945811525,0.11022277023815309,ok,0.10723107361239514,0.17648723445175185,ok,0.11173175241325772,0.18698891382655983,ok,True
1650077,True,4933.0,4826,4910,0.1037592335216042,0.0534450797032464,0.0909025922828427,0.05344507970324641,0.09090259228284271,ok,0.09566063913334766,0.16630186013649484,ok,0.09971469997942228,0.17643469400491577,ok,True
1650078,True,994.0,730,944,0.0941688344935247,0.0794953714247757,0.0869450973824193,0.0794953714247757,0.08694509738241939,ok,0.09051081612908551,0.09944251942881517,ok,0.09051081612908551,0.09971715959260742,ok,True
1650079,True,1931.0,1824,1909,0.0874645776219908,0.0412823082988067,0.0759166976517287,0.04128230829880675,0.07591669765172873,ok,0.07605633412508883,0.14307327200966735,ok,0.0798642022057221,0.15186919250230077,ok,True
